OBJECTID,FME_DATE,BIKE_CLASS,BIKELEFT,BIKERIGHT,BUS_RTE_L,BUS_RTE_R,CITYLEFT,CITYRIGHT,CLASS,COUNTYLEFT,DATEENTERE,DATEUPDATE,DESCRIPTION,EVACUATION,EXH_EXCEPT,FROMNODEID,FULLSTREET,ISBOUNDARY,LENGTH_CAL,LENGTHSOUR,LF_ACTUAL,LF_EXHAUST,LT_ACTUAL,LT_EXHAUST,MSAG,NAMEVALIDA,ONEWAY,PED_CLASS,PREFIXDIR,PREFIXTYPE,RF_ACTUAL,RF_EXHAUST,ROUTING,RT_ACTUAL,RT_EXHAUST,SOURCE,SPEED,STATUS,STREETNAME,STREETTYPE,SUFFIXDIR,TRAVELDIRE,TRUCK_RTE,YCFC,ZIPLEFT,ZIPRIGHT,CHG_DATE,UNIQUE_ID,Shape__Length,COUNTYRIGH,FC_ID,METHOD,SHAPE_LE_1,SHAPE_LENG,Street_Length,TONODEID,ABBR_STATE
2510785,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,PVT,YOLO, , ,Private,,exc-ok,0,VALLEY OAK LN,0,0.09355805, ,2115,2101,2147,2149,0, ,2,, , ,2140,2100,Yes,2148,2148, ,25,EXISTING,VALLEY OAK,LN, , ,0,23,95691,95691,20210917084908,12514,493.986392459884,,, ,,,493.9863922149709,,CA
2510786,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,C,YOLO, , ,Local,,,5511,BURROWS AVE,0,0.0755849, ,3175,3175,3175,3199,2, ,2,, , ,0,3174,Yes,0,3198, ,25,EXISTING,BURROWS,AVE, , ,0,19,95691,95691,20210917084908,12495,342.540186455601,,, ,,,342.5401854511121,,CA
2510787,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,C,YOLO, , ,Local,,,5512,BURROWS AVE,0,0.11024943, ,0,3601,0,3699,2, ,2,7, , ,0,3600,Yes,0,3698, ,25,EXISTING,BURROWS,AVE, , ,0,19,95691,95691,20210917084908,12494,582.172350715266,,, ,,,582.1723513770977,,CA
2510788,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,LOCAL,YOLO, , ,Local,, ,7534,SILVERADO ST,0,0.04263753, ,0,2501,0,2569,0, ,2,,,,2530,2500,Yes,2562,2568, ,25,EXISTING,SILVERADO,ST,, ,0,19,95691,95691,20210917084908,12492,225.126029127095,,, ,,,225.1260261478583,,CA
2510789,2024/10/29 00:00:00+00,II,03,03,35,35,WEST SACRAMENTO,WEST SACRAMENTO,A,YOLO, , ,Other Principal Arterial,2,,7164,JEFFERSON BLVD,0,0.25802888, ,2945,2941,3035,3049,2, ,,1,, ,2940,2940,,3030,3048, ,25,EXISTING,JEFFERSON,,, ,1,14,95691,95691,20210917084908,12487,876.47416269804,,, ,,,876.4741620261167,,CA
2510790,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,PVT,YOLO, , ,Local,,exc-court,0,FRENCH AVE,0,0.06224027, ,2950,2800,2950,2998,0, ,2,,,,2853,2801,Yes,2935,2999, ,25,EXISTING,FRENCH,AVE,, ,0,19,95691,95691,20210917084908,12490,330.050051272889,,, ,,,330.05005133135694,,CA
2510791,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,PVT,YOLO, , ,Local,,exc-court,0,PERKINS RD,0,0.12990071, ,0,2700,0,2798,0, ,2,,,,2751,2701,Yes,2791,2799, ,25,EXISTING,PERKINS,RD,, ,0,19,95691,95691,20210917084908,12489,659.999976861089,,, ,,,659.9999759549432,,CA
2510792,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,PVT,YOLO, , ,Local,,,0,PERKINS RD,0,0.1404097, ,0,2600,0,2698,0, ,2,,,,2605,2601,Yes,2605,2699, ,25,EXISTING,PERKINS,RD,, ,0,19,95691,95691,20210917084908,12488,731.690739775116,,, ,,,731.6907355140222,,CA
2510793,2024/10/29 00:00:00+00,,,,,,WEST SACRAMENTO,WEST SACRAMENTO,LOCAL,YOLO, , ,Local,, ,0,STABLE DR,0,0.05171632, ,0,3041,0,3043,0, ,2,, , ,3042,3042,Yes,3042,3044, ,25,EXISTING,STABLE,DR, , ,0,19,95691,95691,20210917084908,12485,273.062091839935,,, ,,,273.06209120240845,,CA
2510794,2024/10/29 00:00:00+00,III,05,05,39 AM,39 PM,WEST SACRAMENTO,WEST SACRAMENTO,A,YOLO, , ,Minor Arterial,2, ,27,LINDEN RD,0,0.0308631, ,0,2401,0,2449,0, ,2,5, , ,0,2400,Yes,0,2448, ,35,EXISTING,LINDEN,RD, , ,0,16,95691,95691,20210917084908,12430,162.956988328095,,, ,,,162.95698831642554,,CA
