OBJECTID,FILEID,SUMLEV,GEOCODE,STATE,COUNTY,COUNTYCC,COUNTYNS,PLACE,PLACECC,PLACENS,TRACT,NAME,NAMELSAD,CBSA,MEMI,CSA,HU100,PopulationP1,Population18_P3,Housing_Units,HU_Occupied,HU_Vacant,Shape_Length,Shape_Area
1,PLST,750,06113010102,6,113,H1,277321,84816,C1,2412228,10102,101.02,Census Tract 101.02,40900,1,472,565,1401,1143,565,528,37,222365.348,697022596.1
2,PLST,750,06113010103,6,113,H1,277321,84816,C1,2412228,10103,101.03,Census Tract 101.03,40900,1,472,1990,5882,4371,1990,1903,87,31001.99916,25951055.03
3,PLST,750,06113010104,6,113,H1,277321,84816,C1,2412228,10104,101.04,Census Tract 101.04,40900,1,472,2011,5045,3964,2011,1920,91,23111.44675,25456136.27
4,PLST,750,06113010105,6,113,H1,277321,84816,C1,2412228,10105,101.05,Census Tract 101.05,40900,1,472,963,2008,1594,963,914,49,16958.1425,12093986.37
5,PLST,750,06113010201,6,113,H1,277321,84816,C1,2412228,10201,102.01,Census Tract 102.01,40900,1,472,1813,3985,3131,1813,1734,79,29764.25085,35088114.82
6,PLST,750,06113010203,6,113,H1,277321,84816,C1,2412228,10203,102.03,Census Tract 102.03,40900,1,472,2289,5722,4249,2289,2189,100,51044.97457,118432887.9
7,PLST,750,06113010204,6,113,H1,277321,84816,C1,2412228,10204,102.04,Census Tract 102.04,40900,1,472,2190,5186,4118,2190,2107,83,22273.00375,20352461.11
8,PLST,750,06113010310,6,113,H1,277321,84816,C1,2412228,10310,103.1,Census Tract 103.10,40900,1,472,1938,5956,4212,1938,1905,33,30054.78775,54621837.01
9,PLST,750,06113010312,6,113,H1,277321,84816,C1,2412228,10312,103.12,Census Tract 103.12,40900,1,472,1976,5320,4095,1976,1918,58,26636.9458,26639818.74
10,PLST,750,06113010313,6,113,H1,277321,84816,C1,2412228,10313,103.13,Census Tract 103.13,40900,1,472,1832,5406,3956,1832,1815,17,23011.67406,33355402.45
11,PLST,750,06113010314,6,113,H1,277321,84816,C1,2412228,10314,103.14,Census Tract 103.14,40900,1,472,798,2322,1727,798,798,0,24612.43176,32913380.84
12,PLST,750,06113010315,6,113,H1,277321,84816,C1,2412228,10315,103.15,Census Tract 103.15,40900,1,472,571,1442,1120,571,534,37,42688.41638,43699431.24
13,PLST,750,06113010401,6,113,H1,277321,22104,U1,2804443,10401,104.01,Census Tract 104.01,40900,1,472,1851,4678,3665,1851,1738,113,294147.2797,3843032577
14,PLST,750,06113010402,6,113,H1,277321,99999,99,99999999,10402,104.02,Census Tract 104.02,40900,1,472,1370,4379,3075,1370,1340,30,75044.47238,220400774.4
15,PLST,750,06113010501,6,113,H1,277321,81302,U1,2628819,10501,105.01,Census Tract 105.01,40900,1,472,1682,8696,8334,1682,1437,245,65025.72082,146317723.3
16,PLST,750,06113010505,6,113,H1,277321,18100,C1,2410296,10505,105.05,Census Tract 105.05,40900,1,472,2333,5968,4631,2333,2228,105,230229.554,1477783830
17,PLST,750,06113010508,6,113,H1,277321,18100,C1,2410296,10508,105.08,Census Tract 105.08,40900,1,472,1086,2569,2194,1086,1052,34,22597.24335,27214155.81
18,PLST,750,06113010509,6,113,H1,277321,18100,C1,2410296,10509,105.09,Census Tract 105.09,40900,1,472,1443,3578,2976,1443,1384,59,14383.52439,11281580.84
19,PLST,750,06113010510,6,113,H1,277321,18100,C1,2410296,10510,105.1,Census Tract 105.10,40900,1,472,2111,4908,4288,2111,1979,132,31981.25657,49864743.63
20,PLST,750,06113010511,6,113,H1,277321,18100,C1,2410296,10511,105.11,Census Tract 105.11,40900,1,472,1315,3333,2895,1315,1265,50,13155.90557,9372068.744
