OBJECTID,FILEID,SUMLEV,GEOCODE,STATE,COUNTY,COUNTYCC,COUNTYNS,PLACE,PLACECC,PLACENS,TRACT,NAME,NAMELSAD,CBSA,MEMI,CSA,UA,UATYPE,UR,ZCTA,PUMA,POP100,HU100,PopulationP1,Population18_P3,HispanicOrigin,NotHispanic,NH_Wht,NH_Blk,NH_Ind,NH_Asn,NH_Hwn,NH_Oth,NH_2,Housing_Units,HU_Occupied,HU_Vacant,GQ_Institutional_Pop,GQ_Inst_CFAdult,GQ_Inst_Juvenile,GQ_Inst_Nursing,GQ_Inst_Oth,GQ_NonInst_Pop,GQ_NonInst_Student,GQ_NonInst_Military,GQ_NonInst_Oth,Shape_Length,Shape_Area
1,PLST,750,06113010102,6,113,H1,277321,84816,C1,2412228,10102,101.02,Census Tract 101.02,40900,1,472,,,,,,1401,565,1401,1143,483,918,740,30,11,52,15,12,58,565,528,37,0,0,0,0,0,17,0,0,17,222365.348,697022596.1
2,PLST,750,06113010103,6,113,H1,277321,84816,C1,2412228,10103,101.03,Census Tract 101.03,40900,1,472,,,,,,5882,1990,5882,4371,2658,3224,2139,135,32,547,116,40,215,1990,1903,87,0,0,0,0,0,0,0,0,0,31001.99916,25951055.03
3,PLST,750,06113010104,6,113,H1,277321,84816,C1,2412228,10104,101.04,Census Tract 101.04,40900,1,472,,,,,,5045,2011,5045,3964,2269,2776,1682,291,37,405,28,23,310,2011,1920,91,0,0,0,0,0,20,0,0,20,23111.44675,25456136.27
4,PLST,750,06113010105,6,113,H1,277321,84816,C1,2412228,10105,101.05,Census Tract 101.05,40900,1,472,,,,,,2008,963,2008,1594,539,1469,801,184,20,253,7,16,188,963,914,49,0,0,0,0,0,0,0,0,0,16958.1425,12093986.37
5,PLST,750,06113010201,6,113,H1,277321,84816,C1,2412228,10201,102.01,Census Tract 102.01,40900,1,472,,,,,,3985,1813,3985,3131,1161,2824,1839,154,20,463,14,32,302,1813,1734,79,0,0,0,0,0,37,0,0,37,29764.25085,35088114.82
6,PLST,750,06113010203,6,113,H1,277321,84816,C1,2412228,10203,102.03,Census Tract 102.03,40900,1,472,,,,,,5722,2289,5722,4249,2553,3169,1792,354,56,541,60,29,337,2289,2189,100,82,0,0,82,0,62,0,0,62,51044.97457,118432887.9
7,PLST,750,06113010204,6,113,H1,277321,84816,C1,2412228,10204,102.04,Census Tract 102.04,40900,1,472,,,,,,5186,2190,5186,4118,2171,3015,2132,190,57,282,77,26,251,2190,2107,83,2,0,2,0,0,19,0,0,19,22273.00375,20352461.11
8,PLST,750,06113010310,6,113,H1,277321,84816,C1,2412228,10310,103.1,Census Tract 103.10,40900,1,472,,,,,,5956,1938,5956,4212,1398,4558,2435,367,17,1114,72,56,497,1938,1905,33,0,0,0,0,0,0,0,0,0,30054.78775,54621837.01
9,PLST,750,06113010312,6,113,H1,277321,84816,C1,2412228,10312,103.12,Census Tract 103.12,40900,1,472,,,,,,5320,1976,5320,4095,1155,4165,2819,183,17,713,25,46,362,1976,1918,58,0,0,0,0,0,15,0,0,15,26636.9458,26639818.74
10,PLST,750,06113010313,6,113,H1,277321,84816,C1,2412228,10313,103.13,Census Tract 103.13,40900,1,472,,,,,,5406,1832,5406,3956,1049,4357,2358,200,12,1196,79,37,475,1832,1815,17,0,0,0,0,0,0,0,0,0,23011.67406,33355402.45
11,PLST,750,06113010314,6,113,H1,277321,84816,C1,2412228,10314,103.14,Census Tract 103.14,40900,1,472,,,,,,2322,798,2322,1727,509,1813,1066,44,10,474,23,10,186,798,798,0,0,0,0,0,0,0,0,0,0,24612.43176,32913380.84
12,PLST,750,06113010315,6,113,H1,277321,84816,C1,2412228,10315,103.15,Census Tract 103.15,40900,1,472,,,,,,1442,571,1442,1120,469,973,643,61,10,140,16,2,101,571,534,37,0,0,0,0,0,18,0,0,18,42688.41638,43699431.24
13,PLST,750,06113010401,6,113,H1,277321,22104,U1,2804443,10401,104.01,Census Tract 104.01,40900,1,472,,,,,,4678,1851,4678,3665,1136,3542,2484,85,10,662,12,20,269,1851,1738,113,0,0,0,0,0,16,0,0,16,294147.2797,3843032577
14,PLST,750,06113010402,6,113,H1,277321,99999,99,99999999,10402,104.02,Census Tract 104.02,40900,1,472,,,,,,4379,1370,4379,3075,900,3479,1760,313,7,967,49,52,331,1370,1340,30,0,0,0,0,0,0,0,0,0,75044.47238,220400774.4
15,PLST,750,06113010501,6,113,H1,277321,81302,U1,2628819,10501,105.01,Census Tract 105.01,40900,1,472,,,,,,8696,1682,8696,8334,1423,7273,4135,339,102,2130,155,31,381,1682,1437,245,0,0,0,0,0,5161,5161,0,0,65025.72082,146317723.3
